,yyyyq,r,logDP,logDY,logEP,logDE,svar,b/m,ntis,tbl,lty,ltr,tms,dfy,dfr,lagINFL
446,19823,0.07874345346847322,-2.866736979762168,-2.772679958953498,-2.183861349524052,-0.6828756302381156,0.009505811,1.088535565,0.000550709,0.0792,0.1183,0.202077382,0.039099999999999996,0.026900000000000007,0.011302711999999993,0.026455027
447,19824,0.1385682433053912,-3.019039327702609,-2.863821525802044,-2.4093370452181553,-0.6097022824844534,0.014107796,0.932214727,0.002990053,0.0794,0.1095,0.096358764,0.030100000000000002,0.023099999999999996,0.013020102000000006,0.009278351
448,19831,0.07534085800065028,-3.0972068115235127,-3.013233796157288,-2.5108683727977583,-0.5863384387257541,0.00676432,0.780067786,0.005993542,0.0835,0.1083,0.007221991,0.02479999999999999,0.018799999999999997,0.033213272,-0.003064351
449,19832,0.08393348396536476,-3.1873167525262542,-3.092874674784378,-2.5917156789887117,-0.5956010735375425,0.003907513,0.721382042,0.015826551,0.0879,0.1119,-0.001070309,0.023999999999999994,0.01630000000000001,0.016999915999999997,0.003073771
450,19833,-0.02265048218803218,-3.1664992371633485,-3.178708377989654,-2.5246453509909537,-0.6418538861723948,0.004719163,0.714847583,0.023178393,0.09,0.1157,0.001444591,0.0257,0.011800000000000005,-0.004469417,0.016343207
451,19834,-0.017131161954960446,-3.146835800916025,-3.1537240456746254,-2.4643232473456913,-0.6825125535703335,0.002479773,0.700359118,0.027056897,0.09,0.1197,-0.001070225,0.029700000000000004,0.011800000000000005,0.009396232,0.012060302
452,19841,-0.043635724204858645,-3.0987362543175707,-3.1342217583999283,-2.3448006115213924,-0.7539356427961782,0.00416867,0.762475427,0.024104936,0.0952,0.1253,-0.009530505,0.030099999999999988,0.01419999999999999,-0.004853282,0.005958292
453,19842,-0.04740912191492477,-3.0423704267197604,-3.080792363616016,-2.246602458243109,-0.7957679684766513,0.003644341,0.784351819,0.001304065,0.0987,0.1374,-0.047481573,0.0387,0.014999999999999986,0.011034739000000002,0.012833169
454,19843,0.06910819009634468,-3.113816378006868,-3.0328400618690665,-2.3055998676621354,-0.8082165103447324,0.004935717,0.736050915,-0.009492547,0.1037,0.1235,0.135286204,0.019799999999999998,0.0169,-0.009926674999999996,0.010721248
455,19844,-0.0057048631011752116,-3.100534864676562,-3.093694974807447,-2.307620471095302,-0.7929143935812604,0.003502243,0.733098377,-0.027196787,0.0806,0.117,0.078285894,0.0364,0.012700000000000003,0.015145788000000007,0.012536162
456,19851,0.06189258092757772,-3.1606048279691974,-3.0834179227358645,-2.399945418965959,-0.7606594090032385,0.003183403,0.723645779,-0.024815769,0.0852,0.1181,0.015554358,0.0329,0.011300000000000004,-0.0037742270000000015,0.002857143
457,19852,0.05312724999993189,-3.2103121290913257,-3.1502151241200615,-2.5088020821656207,-0.7015100469257048,0.002035261,0.686430144,-0.026607514,0.0695,0.1055,0.13181507,0.03599999999999999,0.014600000000000002,-0.00854144400000001,0.010446344
458,19853,-0.06471017280219561,-3.14520731657565,-3.197474982330645,-2.4811789840308958,-0.664028332544754,0.002214168,0.68995883,-0.031294354,0.071,0.1082,0.005318189,0.03720000000000001,0.014099999999999988,0.015463667,0.011278196
459,19854,0.1433197765638028,-3.286321508515901,-3.1375833914649904,-2.6714780422262687,-0.6148434662896322,0.003084908,0.592692688,-0.019465082,0.071,0.0956,0.133426696,0.02460000000000001,0.014200000000000004,-0.012073995000000018,0.006505576
